,mpg,cyl,displ,hp,weight,accel,yr,origin,name,make,L100,force,mpg_lr,lr,mpg_rf,rf
220,17.0,8,260.0,110,4060,19.0,77,American,oldsmobile cutlass supreme,oldsmobile,13.810741687979538,213.68421052631578,16.935134707947125,0.06486529205287539,15,2.0
245,39.4,4,85.0,70,2070,18.6,78,Asian,datsun b210 gx,datsun,5.958949459280512,111.29032258064515,31.443861657060292,7.956138342939706,31,8.399999999999999
134,16.0,8,302.0,140,4141,14.0,74,American,ford gran torino,ford,14.67391304347826,295.7857142857143,13.925139893665776,2.0748601063342242,14,2.0
147,24.0,4,120.0,97,2489,15.0,74,Asian,honda civic,honda,9.782608695652174,165.93333333333334,25.331002320874692,-1.331002320874692,23,1.0
390,28.0,4,120.0,79,2625,18.6,82,American,ford ranger,ford,8.385093167701863,141.1290322580645,30.865171729623757,-2.865171729623757,31,-3.0
33,16.0,6,225.0,105,3439,15.5,71,American,plymouth satellite custom,plymouth,14.67391304347826,221.8709677419355,16.129122971574677,-0.12912297157467734,18,-2.0
266,27.2,4,119.0,97,2300,14.7,78,Asian,datsun 510,datsun,8.631713554987211,156.4625850340136,29.843168062398785,-2.643168062398786,23,4.199999999999999
226,18.5,6,250.0,98,3525,19.0,77,American,ford granada,ford,12.690951821386603,185.52631578947367,20.79424901021942,-2.2942490102194206,17,1.5
263,17.5,8,318.0,140,4080,13.7,78,American,dodge magnum xe,dodge,13.416149068322982,297.8102189781022,17.516826628363983,-0.016826628363983076,15,2.5
327,44.6,4,91.0,67,1850,13.8,80,Asian,honda civic 1500 gl,honda,5.264184051472021,134.05797101449275,33.59626779629903,11.00373220370097,36,8.600000000000001
188,14.5,8,351.0,152,4215,12.8,76,American,ford gran torino,ford,16.19190404797601,329.296875,15.164846888127908,-0.6648468881279079,16,-1.5
273,17.0,6,163.0,125,3140,13.6,78,European,volvo 264gl,volvo,13.810741687979538,230.88235294117646,24.056810033319497,-7.056810033319497,20,-3.0
9,15.0,8,390.0,190,3850,8.5,70,American,amc ambassador dpl,amc,15.652173913043477,452.94117647058823,13.438618526273604,1.5613814737263958,15,0.0
236,33.5,4,98.0,83,2075,15.9,77,American,dodge colt m/m,dodge,7.008436080467229,130.50314465408806,30.484989103008967,3.0150108969910328,30,3.5
211,13.0,8,350.0,145,4055,12.0,76,American,chevy c10,chevrolet,18.06020066889632,337.9166666666667,15.961756215780934,-2.961756215780934,15,-2.0
172,18.0,6,171.0,97,2984,14.5,75,American,ford pinto,ford,13.043478260869565,205.79310344827587,22.14058281236544,-4.140582812365441,19,-1.0
217,25.5,4,122.0,96,2300,15.5,77,American,plymouth arrow gs,plymouth,9.207161125319693,148.38709677419354,29.182499589231302,-3.682499589231302,24,1.5
102,11.0,8,400.0,150,4997,14.0,73,American,chevrolet impala,chevrolet,21.34387351778656,356.92857142857144,7.264440015979051,3.7355599840209486,13,-2.0
72,13.0,8,307.0,130,4098,14.0,72,American,chevrolet chevelle concours (sw),chevrolet,18.06020066889632,292.7142857142857,12.345921118319662,0.6540788816803378,14,-1.0
11,14.0,8,340.0,160,3609,8.0,70,American,plymouth 'cuda 340,plymouth,16.770186335403725,451.125,14.11414099329033,-0.11414099329033078,15,-1.0
