,mpg,cyl,displ,hp,weight,accel,yr,origin,name,make,L100,mpg_lr,lr
220,17.0,8,260.0,110,4060,19.0,77,American,oldsmobile cutlass supreme,oldsmobile,13.810741687979538,16.935134707947125,0.06486529205287539
245,39.4,4,85.0,70,2070,18.6,78,Asian,datsun b210 gx,datsun,5.958949459280512,31.443861657060292,7.956138342939706
134,16.0,8,302.0,140,4141,14.0,74,American,ford gran torino,ford,14.67391304347826,13.925139893665776,2.0748601063342242
147,24.0,4,120.0,97,2489,15.0,74,Asian,honda civic,honda,9.782608695652174,25.331002320874692,-1.331002320874692
390,28.0,4,120.0,79,2625,18.6,82,American,ford ranger,ford,8.385093167701863,30.865171729623757,-2.865171729623757
33,16.0,6,225.0,105,3439,15.5,71,American,plymouth satellite custom,plymouth,14.67391304347826,16.129122971574677,-0.12912297157467734
266,27.2,4,119.0,97,2300,14.7,78,Asian,datsun 510,datsun,8.631713554987211,29.843168062398785,-2.643168062398786
226,18.5,6,250.0,98,3525,19.0,77,American,ford granada,ford,12.690951821386603,20.79424901021942,-2.2942490102194206
263,17.5,8,318.0,140,4080,13.7,78,American,dodge magnum xe,dodge,13.416149068322982,17.516826628363983,-0.016826628363983076
327,44.6,4,91.0,67,1850,13.8,80,Asian,honda civic 1500 gl,honda,5.264184051472021,33.59626779629903,11.00373220370097
188,14.5,8,351.0,152,4215,12.8,76,American,ford gran torino,ford,16.19190404797601,15.164846888127908,-0.6648468881279079
273,17.0,6,163.0,125,3140,13.6,78,European,volvo 264gl,volvo,13.810741687979538,24.056810033319497,-7.056810033319497
9,15.0,8,390.0,190,3850,8.5,70,American,amc ambassador dpl,amc,15.652173913043477,13.438618526273604,1.5613814737263958
236,33.5,4,98.0,83,2075,15.9,77,American,dodge colt m/m,dodge,7.008436080467229,30.484989103008967,3.0150108969910328
211,13.0,8,350.0,145,4055,12.0,76,American,chevy c10,chevrolet,18.06020066889632,15.961756215780934,-2.961756215780934
172,18.0,6,171.0,97,2984,14.5,75,American,ford pinto,ford,13.043478260869565,22.14058281236544,-4.140582812365441
217,25.5,4,122.0,96,2300,15.5,77,American,plymouth arrow gs,plymouth,9.207161125319693,29.182499589231302,-3.682499589231302
102,11.0,8,400.0,150,4997,14.0,73,American,chevrolet impala,chevrolet,21.34387351778656,7.264440015979051,3.7355599840209486
72,13.0,8,307.0,130,4098,14.0,72,American,chevrolet chevelle concours (sw),chevrolet,18.06020066889632,12.345921118319662,0.6540788816803378
11,14.0,8,340.0,160,3609,8.0,70,American,plymouth 'cuda 340,plymouth,16.770186335403725,14.11414099329033,-0.11414099329033078
162,21.0,6,231.0,110,3039,15.0,75,American,buick skyhawk,buick,11.180124223602483,22.318887991098553,-1.3188879910985527
181,25.0,4,116.0,81,2220,16.9,76,European,opel 1900,opel,9.391304347826088,28.785537862744423,-3.785537862744423
336,25.8,4,156.0,92,2620,14.4,81,American,dodge aries wagon (sw),dodge,9.10010111223458,29.705539830330995,-3.9055398303309943
341,35.1,4,81.0,60,1760,16.1,81,Asian,honda civic 1300,honda,6.688963210702341,35.29035858954299,-0.19035858954298845
343,37.0,4,85.0,65,1975,19.4,81,Asian,datsun 210 mpg,datsun,6.345475910693302,34.537083729910776,2.4629162700892238
95,13.0,8,360.0,175,3821,11.0,73,American,amc ambassador brougham,amc,18.06020066889632,16.04079520729923,-3.0407952072992295
240,21.5,4,121.0,110,2600,12.8,77,European,bmw 320i,bmw,10.920121334681497,26.860165191401745,-5.3601651914017445
307,41.5,4,98.0,76,2144,14.7,80,European,vw rabbit,volkswagen,5.657412257726558,31.90293837216299,9.597061627837011
177,22.0,4,121.0,98,2945,14.5,75,European,volvo 244dl,volvo,10.67193675889328,22.700108580674314,-0.7001085806743141
54,27.0,4,97.0,60,1834,19.0,71,European,volkswagen model 111,volkswagen,8.695652173913043,27.39754987460965,-0.3975498746096484
261,17.7,6,231.0,165,3445,13.4,78,American,buick regal sport coupe (turbo),buick,13.264554163596168,23.102371415203567,-5.402371415203568
362,28.0,4,112.0,88,2605,19.6,82,American,chevrolet cavalier,chevrolet,8.385093167701863,31.484719940644208,-3.484719940644208
36,18.0,6,232.0,100,3288,15.5,71,American,amc matador,amc,13.043478260869565,17.094522398922788,0.9054776010772123
75,18.0,4,121.0,112,2933,14.5,72,European,volvo 145e (sw),volvo,13.043478260869565,20.836821128227992,-2.8368211282279923
381,38.0,6,262.0,85,3015,17.0,82,American,oldsmobile cutlass ciera (diesel),oldsmobile,6.178489702517162,27.733491527273312,10.266508472726688
316,29.8,4,134.0,90,2711,15.5,80,Asian,toyota corona liftback,toyota,7.878611030055442,28.37221631268068,1.4277836873193195
144,28.0,4,90.0,75,2125,14.5,74,American,dodge colt,dodge,8.385093167701863,27.18683664934372,0.8131633506562785
321,27.9,4,156.0,105,2800,14.4,80,American,dodge colt,dodge,8.41514726507714,27.98877591888282,-0.08877591888282055
171,24.0,4,119.0,97,2545,17.0,75,Asian,datsun 710,datsun,9.782608695652174,26.118575016519603,-2.1185750165196033
26,10.0,8,307.0,200,4376,15.0,70,American,chevy c20,chevrolet,23.478260869565215,11.08719174637109,-1.08719174637109
212,13.0,8,302.0,130,3870,15.0,76,American,ford f108,ford,18.06020066889632,17.40366810231018,-4.403668102310181
